"company","tikr","price"
"Cullman Bancorp, Inc.","CULL",12.39
"Eagle Pharmaceuticals, Inc.","EGRX",50.72
"Computer Programs & Systems, Inc.","CPSI",29.01
"Endava Plc","DAVA",129.29
"Datadog, Inc.","DDOG",143.88
"Datto Holding Corp.","MSP",24.99
"Enlivex Therapeutics Ltd.","ENLV",6.02
"CryoPort, Inc.","CYRX",45.13
"Colgate-Palmolive Co.","CL",84.44
"Eastern Bankshares, Inc.","EBC",21.63
"Enova International, Inc.","ENVA",41.35
"Concord Medical Services Holding Ltd.","CCM",1.95
"Eastside Distilling, Inc.","EAST",1.64
"Entera Bio Ltd.","ENTX",2.84
"CNS Pharmaceuticals, Inc.","CNSP",0.74
"Duke Realty Corp.","DRE",60.22
"JinkoSolar Holding Co., Ltd.","JKS",44.64
"Independence Realty Trust, Inc.","IRT",23.76
"National Vision Holdings, Inc.","EYE",42.98
"Nasdaq, Inc.","NDAQ",193.5
"Myriad Genetics, Inc.","MYGN",24.96
"Kingsoft Cloud Holdings Ltd.","KC",13.48
"LAIX, Inc.","LAIX",0.58
"New Jersey Resources Corp.","NJR",40.04
"L3Harris Technologies, Inc.","LHX",219.85
"InterContinental Hotels Group Plc","IHG",68.31
"MEDIROM Healthcare Technologies, Inc.","MRM",6.2
"Invesco Mortgage Capital, Inc.","IVR",2.99
"Lixte Biotechnology Holdings, Inc.","LIXT",2.14
"Monolithic Power Systems, Inc.","MPWR",444.47
"JanOne, Inc.","JAN",3.71
"Leggett & Platt, Inc.","LEG",41.97
"NexPoint Real Estate Finance, Inc.","NREF",19.72
"KB Home","KBH",39.75
"M.D.C. Holdings, Inc.","MDC",51.16
"Lions Gate Entertainment Corp.","LGF/B",16.04
"JBG SMITH Properties","JBGS",30.76
"Inventiva SA","IVA",13.78
"Mohawk Industries, Inc.","MHK",176.65
"Maravai Lifesciences Holdings, Inc.","MRVI",33.4
"Inovio Pharmaceuticals, Inc.","INO",4.62
"MicroStrategy, Inc.","MSTR",483.6
"Kennametal, Inc.","KMT",37
"MKS Instruments, Inc.","MKSI",168.97
"Midatech Pharma Plc","MTP",1.22
"International Game Technology Plc","IGT",28.99
"Marathon Digital Holdings, Inc.","MARA",28.48
"LiveOne Inc","LVO",1.02
"Interpublic Group of Cos., Inc.","IPG",37.55
"Nano Dimension Ltd.","NNDM",3.81
"Iterum Therapeutics Plc","ITRM",0.41
"Match Group, Inc.","MTCH",125.34
"Motorola Solutions, Inc.","MSI",252.39
"Mesa Air Group, Inc.","MESA",5.67
"Nemaura Medical, Inc.","NMRD",4.66
"iRobot Corp.","IRBT",66.53
"Mizuho Financial Group, Inc.","MFG",2.69
"MICT, Inc.","MICT",0.83
"Lexicon Pharmaceuticals, Inc.","LXRX",3.53
"Lakeland Industries, Inc.","LAKE",21.9
"Keysight Technologies, Inc.","KEYS",187.99
"MultiPlan Corp.","MPLN",4.02
"Intel Corp.","INTC",53.42
"Maxar Technologies, Inc.","MAXR",29.68
"InMed Pharmaceuticals, Inc.","INM",1.26
"Monster Beverage Corp.","MNST",94.06
"Immunocore Holdings Plc","IMCR",28.8
"Largo, Inc.","LGO",10.43
"ImmunityBio, Inc.","IBRX",6.27
"India Globalization Capital, Inc.","IGC",1
"Kimberly-Clark Corp.","KMB",143.7
"Nexa Resources SA","NEXA",8.53
"Las Vegas Sands Corp.","LVS",37.91
"IM Cannabis Corp.","IMCC",3.01
"MasTec, Inc.","MTZ",93.94
"Juniper Networks, Inc.","JNPR",34.24
"Inspira Technologies Oxy B.H.N. Ltd.","IINN",3.73
"Liberty Global Plc","LBTYA",27.53
"Kubient, Inc.","KBNT",2.78
"Kandi Technologies Group, Inc.","KNDI",3.39
"Lithium Americas Corp.","LAC",27.81
"Mitsubishi UFJ Financial Group, Inc.","MUFG",5.96
"Marriott Vacations Worldwide Corp.","VAC",172.04
"MGM Resorts International","MGM",44.53
"Iris Energy Ltd","IREN",12.02
"MBIA, Inc.","MBI",15.31
"NexGen Energy Ltd.","NXE",4.65
"ImmunoGen, Inc.","IMGN",6.98
"Lemonade, Inc.","LMND",37.04
"Meritor, Inc.","MTOR",26.17
"MetLife, Inc.","MET",67.25
"InflaRx NV","IFRX",3.91
"National Health Investors, Inc.","NHI",60.97
"iSun, Inc.","ISUN",5.3
"Kala Pharmaceuticals, Inc.","KALA",1.09
"LiveRamp Holdings, Inc.","RAMP",45.85
"MEI Pharma, Inc.","MEIP",2.61
"Micro Focus International Plc","MFGP",5.64
"Intercontinental Exchange, Inc.","ICE",133.23
"McAfee Corp.","MCFE",25.75
"Magnolia Oil & Gas Corp.","MGY",19.9
"Magic Software Enterprises Ltd.","MGIC",20.49
"Limelight Networks, Inc.","LLNW",3.56
"Ladder Capital Corp.","LADR",12.19
"Mitek Systems, Inc.","MITK",16.36
"Knowles Corp.","KN",23.27
"Levi Strauss & Co.","LEVI",23.29
"Mattel, Inc.","MAT",22.25
"Netflix, Inc.","NFLX",541.06
"Nielsen Holdings Plc","NLSN",20.99
"Nicholas Financial, Inc.","NICK",11.79
"Muscle Maker, Inc.","GRIL",0.65
"LPL Financial Holdings, Inc.","LPLA",177.43
"Jupiter Wellness, Inc.","JUPW",0.84
"News Corp.","NWS",22.69
"Kelso Technologies, Inc.","KIQ",0.45
"Jefferies Financial Group, Inc.","JEF",40.37
"NiSource, Inc.","NI",27.86
"Kimball International, Inc.","KBAL",10.48
"NetSTREIT Corp.","NTST",23.11
"Kaixin Auto Holdings","KXIN",1.1
"Industrial Logistics Properties Trust","ILPT",25.25
"ION Geophysical Corp.","IO",0.88
"National Beverage Corp.","FIZZ",44.78
"Missfresh Ltd.","MF",4.68
"Lumen Technologies, Inc. (Louisiana)","LUMN",13.77
"IRSA Inversiones y Representaciones SA","IRS",4.01
"Liquidity Services, Inc.","LQDT",21.46
"Nikola Corporation","NKLA",10.62
"Leidos Holdings, Inc.","LDOS",91.53
"Monopar Therapeutics, Inc.","MNPR",3.6
"Leslie's, Inc.","LESL",22.31
"NMI Holdings, Inc.","NMIH",23.96
"IMAC Holdings, Inc.","IMAC",1.42
"MediGus Ltd.","MDGS",1.14
"Kadmon Holdings, Inc.","KDMN",0
"Jacobs Engineering Group, Inc.","J",137.19
"My Size, Inc.","MYSZ",0.48
"Iovance Biotherapeutics, Inc.","IOVA",16.26
"Medalist Diversified REIT, Inc.","MDRR",1.04
"Lumentum Holdings, Inc.","LITE",105.3
"JD.com, Inc.","JD",68.26
"Morgan Stanley","MS",104.03
"Meridian Bioscience, Inc.","VIVO",20.5
"IZEA Worldwide, Inc.","IZEA",1.21
"Kuke Music Holding Ltd.","KUKE",4
"Senstar Technologies Ltd","SNT",2.68
"Intellia Therapeutics, Inc.","NTLA",105.77
"Manhattan Bridge Capital, Inc.","LOAN",5.79
"MEDNAX, Inc.","MD",26.54
"Jianpu Technology, Inc.","JT",1.18
"Nanobiotix SA","NBTX",8.94
"Meiwu Technology Company Ltd","WNW",2.18
"Invivo Therapeutics Holdings Corp.","NVIV",0.5
"Kanzhun Ltd.","BZ",36.9
"Incyte Corp.","INCY",73.2
"Jowell Global Ltd.","JWEL",4.91
"Loews Corp.","L",60.8
"Mueller Water Products, Inc.","MWA",13.87
"Johnson Controls International Plc","JCI",79.27
"Immuron Ltd.","IMRN",2.63
"IQVIA Holdings, Inc.","IQV",257.01
"KKR Real Estate Finance Trust, Inc.","KREF",21.69
"Molecular Templates, Inc.","MTEM",3.9
"Iridium Communications, Inc.","IRDM",40.83
"Nokia Corp - ADR","NOK",6.09
"Marker Therapeutics, Inc.","MRKR",0.86
"Ionis Pharmaceuticals, Inc.","IONS",30.34
"Just Eat Takeaway.com NV","GRUB",9.94
"Mandiant, Inc.","MNDT",16.42
"Koninklijke Philips NV","PHG",37.77
"J.B. Hunt Transport Services, Inc.","JBHT",200.08
"NICE Ltd. (Israel)","NICE",277.36
"Medical Properties Trust, Inc.","MPW",23.24
"Investors Bancorp, Inc. (New Jersey)","ISBC",17.09
"NantHealth, Inc.","NH",0.97
"Microchip Technology, Inc.","MCHP",81.9
"LiqTech International, Inc.","LIQT",5.79
"Kirkland's, Inc.","KIRK",15.75
"Leju Holdings Ltd.","LEJU",0.85
"InspireMD, Inc.","NSPR",2.94
"James Hardie Industries Plc","JHX",37.08
"Nabriva Therapeutics Plc","NBRV",0.59
"Mastercard, Inc.","MA",369.68
"Marqeta Inc - Ordinary Shares - Class A","MQ",15.57
"Merck & Co Inc","MRK",80.29
"Kilroy Realty Corp.","KRC",71.03
"Innoviva, Inc.","INVA",17.5
"Kohl's Corp.","KSS",48.23
"Merus NV","MRUS",29.13
"MediWound Ltd.","MDWD",3.12
"Nexstar Media Group, Inc.","NXST",155.4
"Liberty Global Plc","LBTYB",28.25
"NewAge, Inc.","NBEV",1.02
"Laredo Petroleum, Inc.","LPI",71.43
"Lamb Weston Holdings, Inc.","LW",70.24
"Neptune Wellness Solutions, Inc.","NEPT",0.39
"Lazard Ltd.","LAZ",46.01
"Manchester United Plc","MANU",14.76
"Livent Corp.","LTHM",23.81
"NeuroPace Inc","NPCE",10.27
"Intercept Pharmaceuticals, Inc.","ICPT",15.03
"ironSource Ltd.","IS",6.89
"Laboratory Corp. of America Holdings","LH",285.28
"LifeMD, Inc.","LFMD",3.72
"Murphy Oil Corp.","MUR",30.83
"NLS Pharmaceutics Ltd.","NLSP",1.24
"Moderna, Inc.","MRNA",213.94
"Income Opportunity Realty Investors, Inc.","IOR",12.52
"Lantheus Holdings, Inc.","LNTH",26.89
"IMAX Corp.","IMAX",19
"Lee Enterprises, Inc.","LEE",39.12
"Macerich Co.","MAC",18.16
"Kaleyra, Inc.","KLR",8.8
"Karyopharm Therapeutics, Inc.","KPTI",7.07
"Kite Realty Group Trust","KRG",21.95
"NextPlay Technologies Inc","NXTP",0.71
"Newmont Corp.","NEM",59.44
"Kazia Therapeutics Ltd.","KZIA",8.26
"International Seaways, Inc.","INSW",15.22
"International Paper Co.","IP",48.87
"Intra-Cellular Therapies, Inc.","ITCI",42.96
"News Corp.","NWSA",22.49
"Millicom International Cellular SA","TIGO",29.04
"Nano-X Imaging Ltd.","NNOX",12.97
"New York City REIT, Inc.","NYC",10.92
"Jupai Holdings Ltd.","JP",0.94
"Masonite International Corp.","DOOR",110.41
"MIND C.T.I. Ltd.","MNDO",3.07
"Lattice Semiconductor Corp.","LSCC",68.76
"Momentive Global Inc","MNTV",19.9
"Minerva Neurosciences, Inc.","NERV",0.85
"New Gold, Inc.","NGD",1.49
"KemPharm, Inc.","KMPH",8.64
"International Tower Hill Mines Ltd.","THM",0.74
"Nam Tai Property, Inc.","NTP",11.08
"Lipocine, Inc.","LPCN",1.04
"Marathon Oil Corp.","MRO",18.25
"LightPath Technologies, Inc.","LPTH",2.36
"J.Jill, Inc.","JILL",19.01
"Nautilus, Inc.","NLS",5.95
"Infinity Pharmaceuticals, Inc.","INFI",1.5
"Matador Resources Co.","MTDR",41.23
"MFA Financial, Inc.","MFA",4.62
"Kyndryl Holdings, Inc.","KD",17.8
"Madison Square Garden Entertainment Corp - Ordinary Shares - Class A","MSGE",72.45
"Meta Platforms, Inc.","FB",331.67
"Meta Materials, Inc.","MMAT",2.44
"Jazz Pharmaceuticals Plc","JAZZ",134.47
"National Grid Plc","NGG",71.59
"JFrog Ltd.","FROG",28.08
"Innate Pharma SA","IPHA",4.53
"NexPoint Residential Trust, Inc.","NXRT",79.14
"Melco Resorts & Entertainment Ltd.","MLCO",9.71
"Immersion Corp.","IMMR",5.33
"Micron Technology, Inc.","MU",94.46
"Keurig Dr Pepper, Inc.","KDP",37.31
"Johnson & Johnson","JNJ",173.97
"MGIC Investment Corp.","MTG",15.61
"Lions Gate Entertainment Corp.","LGF/A",17.49
"LendingClub Corp.","LC",22.43
"Iron Mountain, Inc.","IRM",46.78
"Nabors Industries Ltd.","NBR",94.75
"NextEra Energy, Inc.","NEE",86.4
"National Storage Affiliates Trust","NSA",64.31
"New Residential Investment Corp.","NRZ",10.88
"Kinder Morgan, Inc.","KMI",17.27
"Liberty Broadband Corp.","LBRDK",151.95
"IsoRay, Inc.","ISR",0.38
"iQIYI, Inc.","IQ",4.43
"Lamar Advertising Co.","LAMR",116.35
"Liberty TripAdvisor Holdings, Inc.","LTRPA",2.35
"Invitation Homes, Inc.","INVH",42.92
"Mondelez International, Inc.","MDLZ",67.55
"Innoviz Technologies Ltd.","INVZ",5.22
"Lyft, Inc.","LYFT",43.1
"Marathon Petroleum Corp.","MPC",70.92
"Lennar Corp.","LEN",102.95
"Mimecast Ltd.","MIME",79.09
"Noah Holdings Ltd.","NOAH",28.75
"Ituran Location & Control Ltd.","ITRN",25.92
"MP Materials Corp.","MP",45.52
"Lockheed Martin Corp.","LMT",360.24
"Natural Health Trends Corp.","NHTC",7.23
"Moleculin Biotech, Inc.","MBRX",1.81
"MDU Resources Group, Inc.","MDU",31.48
"Lexaria Bioscience Corp.","LEXX",4.37
"Liberty Oilfield Services, Inc.","LBRT",12.15
"LXP Industrial Trust","LXP",14.41
"Marsh & McLennan Cos., Inc.","MMC",163.83
"Kintara Therapeutics, Inc.","KTRA",0.52
"Lannett Co., Inc.","LCI",1.65
"Lincoln National Corp.","LNC",73.07
"Liberty Latin America Ltd.","LILAK",11.55
"Kamada Ltd.","KMDA",6.54
"MingZhu Logistics Holdings Ltd.","YGMZ",1.68
"Invesco Ltd.","IVZ",24.54
"Imperial Oil Ltd.","IMO",38.44
"Indus Realty Trust, Inc.","INDT",80.49
"Integra Resources Corp.","ITRG",2.12
"Lucid Group Inc","LCID",41.99
"Marcus Corp.","MCS",17.54
"Illumina, Inc.","ILMN",370.02
"Leap Therapeutics, Inc.","LPTX",2.88
"MaxLinear, Inc.","MXL",65.28
"MicroVision, Inc.","MVIS",4.28
"IRSA Propiedades Comerciales SA","IRCP",2.18
"Infinera Corp.","INFN",9.07
"Newell Brands, Inc.","NWL",23.14
"McEwen Mining, Inc.","MUX",0.9
"NeoPhotonics Corp.","NPTN",15.17
"Medtronic Plc","MDT",105.15
"NCR Corp.","NCR",41.51
"Liquidia Corp.","LQDA",6.22
"Neovasc, Inc.","NVCN",0.47
"Luxfer Holdings Plc","LXFR",19.03
"New Concept Energy, Inc.","GBR",2.55
"iStar, Inc.","STAR",24.63
"Nordic American Tankers Ltd.","NAT",1.78
"Neuronetics, Inc.","STIM",3.76
"Mr. Cooper Group, Inc.","COOP",42.02
"Meritage Homes Corp.","MTH",106.45
"NIO, Inc - ADR","NIO",29.32
"National Retail Properties, Inc.","NNN",47.91
"Magnite, Inc.","MGNI",15.41
"Immutep Ltd.","IMMP",3.32
"Invitae Corp.","NVTA",12.55
"Kimco Realty Corp.","KIM",24.75
"Natuzzi SpA","NTZ",15.24
"Natura &Co Holding SA","NTCO",7.85
"Newmark Group, Inc.","NMRK",16.79
"Louisiana-Pacific Corp.","LPX",73.31
"McDonald's Corp.","MCD",267.04
"IT Tech Packaging, Inc.","ITP",0.23
"Itaú Unibanco Holding SA","ITUB",3.98
"Nisun International Enterprise Development Group Co., Ltd.","NISN",2.7
"New Pacific Metals Corp.","NEWP",2.59
"International Business Machines Corp.","IBM",134.8
"Matinas BioPharma Holdings, Inc.","MTNB",0.95
"Kellogg Co.","K",66.61
"Microsoft Corp.","MSFT",314
"International Flavors & Fragrances, Inc.","IFF",141.95
"LM Funding America, Inc.","LMFA",4.6
"Lowe's Cos., Inc.","LOW",251.1
"JPMorgan Chase & Co.","JPM",167.2
"Lument Finance Trust, Inc.","LFT",3.69
"Neonode, Inc.","NEON",7.7
"Lordstown Motors Corp.","RIDE",3.29
"Newpark Resources, Inc.","NR",3.34
"Integrated Media Technology Ltd.","IMTE",5.1
"Mereo BioPharma Group Plc","MREO",1.38
"Jumia Technologies AG","JMIA",10.29
"Nomura Holdings, Inc.","NMR",4.54
"Niu Technologies","NIU",16.43
"MongoDB, Inc.","MDB",429.92
"MacroGenics, Inc.","MGNX",14.77
"Life Storage, Inc.","LSI",139.16
"Interactive Brokers Group, Inc.","IBKR",77.22
"ING Groep NV","ING",14.88
"McKesson Corp.","MCK",249.94
"Ziff Davis Inc","ZD",106.93
"Macquarie Infrastructure Corp.","MIC",3.63
"New Oriental Education & Technology Group, Inc.","EDU",1.85
"NetApp, Inc.","NTAP",92.25
"KBR, Inc.","KBR",46.67
"MorphoSys AG","MOR",8.65
"Infrastructure & Energy Alternatives, Inc.","IEA",9.67
"Immunovant, Inc.","IMVT",7.99
"LKQ Corp.","LKQ",58.27
"L.B. Foster Co.","FSTR",13.9
"KLA Corp.","KLAC",416.73
"Ingredion, Inc.","INGR",99.52
"Industrias Bachoco SAB de CV","IBA",41.97
"LTC Properties, Inc.","LTC",35.81
"Innovative Industrial Properties, Inc.","IIPR",222.68
"LivePerson, Inc.","LPSN",32.52
"Moody's Corp.","MCO",372.31
"Jack Henry & Associates, Inc.","JKHY",169.75
"Laureate Education, Inc.","LAUR",12.15
"NeoGenomics, Inc.","NEO",28.02
"IMV, Inc.","IMV",1.32
"LightInTheBox Holding Co., Ltd.","LITB",1.03
"Inseego Corp.","INSG",5.22
"Lion Group Holding Ltd.","LGHL",1.33
"Meat-Tech 3D Ltd - ADR","MITC",6
"nCino, Inc.","NCNO",50.78
"Knight-Swift Transportation Holdings, Inc.","KNX",58.54
"Liberty Global Plc","LBTYK",27.72
"Marrone Bio Innovations, Inc.","MBII",0.76
"Navios Maritime Holdings, Inc.","NM",3.7
"Jewett-Cameron Trading Co. Ltd.","JCTCF",8.43
"Immunome, Inc.","IMNM",11.88
"MRC Global, Inc.","MRC",7.63
"Masco Corp.","MAS",67.06
"NetEase, Inc.","NTES",99.72
"LivaNova Plc","LIVN",82.54
"KE Holdings, Inc.","BEKE",20.86
"Li Auto, Inc.","LI",29.21
"NeuroBo Pharmaceuticals, Inc.","NRBO",1.5
"Ironwood Pharmaceuticals, Inc.","IRWD",11.81
"Nomad Foods Ltd.","NOMD",26.4
"Milestone Scientific, Inc.","MLSS",2.09
"Ingersoll Rand, Inc.","IR",59.27
"Mustang Bio, Inc.","MBIO",1.62
"Natera, Inc.","NTRA",75.17
"Infobird Co. Ltd.","IFBD",1.22
"Luminar Technologies, Inc.","LAZR",15.76
"McCormick & Co., Inc.","MKC",96.07
"Jones Lang LaSalle, Inc.","JLL",257.6
"New York Mortgage Trust, Inc.","NYMT",3.81
"MSCI, Inc.","MSCI",551.93
"IVERIC bio, Inc.","ISEE",14
"NexTier Oilfield Solutions, Inc.","NEX",5.48
"Kinross Gold Corp.","KGC",5.44
"lululemon athletica, Inc.","LULU",355.12
"Janus Henderson Group Plc","JHG",42.85
"Moelis & Co.","MC",62.46
"JX Luxventure Limited","LLL",2.27
"Lear Corp.","LEA",187.27
"KKR & Co., Inc.","KKR",69.48
"Kornit Digital Ltd.","KRNT",128.66
"Kura Oncology, Inc.","KURA",12.91
"Jaguar Health, Inc.","JAGX",0.94
"Membership Collective Group, Inc.","MCG",11.33
"Marriott International, Inc.","MAR",166.72
"NatWest Group Plc","NWG",6.7
"Jiuzi Holdings, Inc.","JZXN",1.39
"Insmed, Inc.","INSM",25.79
"Molson Coors Beverage Co.","TAP",50.64
"Immatics NV","IMTX",11.98
"Liberty Latin America Ltd.","LILA",11.75
"Mercury Systems, Inc.","MRCY",56.38
"Inpixon","INPX",0.54
"Koss Corp.","KOSS",10.69
"Kopin Corp.","KOPN",3.6
"Lexinfintech Holdings Ltd.","LX",3.61
"KeyCorp","KEY",26.35
"JetBlue Airways Corp.","JBLU",15.1
"Intuitive Surgical, Inc.","ISRG",324.18
"Neurocrine Biosciences, Inc.","NBIX",75.27
"Marin Software, Inc.","MRIN",4.53
"MannKind Corp.","MNKD",4.08
"NIKE, Inc.","NKE",156.97
"NanoString Technologies, Inc.","NSTG",34.22
"Lam Research Corp.","LRCX",668.84
"Mersana Therapeutics, Inc.","MRSN",6.27
"KalVista Pharmaceuticals, Inc.","KALV",12.95
"iRhythm Technologies, Inc.","IRTC",101.97
"National CineMedia, Inc.","NCMI",2.84
"KAR Auction Services, Inc.","KAR",16.7
"M&T Bank Corp.","MTB",176.95
"Mid-America Apartment Communities, Inc.","MAA",216.42
"Kratos Defense & Security Solutions, Inc.","KTOS",18.51
"Ligand Pharmaceuticals, Inc.","LGND",144.3
"LyondellBasell Industries NV","LYB",97.59
"Live Nation Entertainment, Inc.","LYV",115.93
"ImmunoPrecise Antibodies Ltd.","IPA",6.22
"LAVA Therapeutics NV","LVTX",5.9
"Kosmos Energy Ltd.","KOS",4.33
"Nektar Therapeutics","NKTR",12.68
"Macy's, Inc.","M",26.36
"NeoGames SA","NGMS",26.59
"MarineMax, Inc.","HZO",56.5
"Lineage Cell Therapeutics, Inc.","LCTX",1.98
"Inuvo, Inc.","INUV",0.49
"Jabil, Inc.","JBL",69.39
"Myovant Sciences Ltd.","MYOV",13.86
"Veris Residential Inc","VRE",19.48
"Kirkland Lake Gold Ltd.","KL",39.52
"New Relic, Inc.","NEWR",101.95
"MYT Netherlands Parent BV","MYTE",18.66
"Intuit, Inc.","INTU",567.45
"La-Z-Boy, Inc.","LZB",36.1
"Kiniksa Pharmaceuticals Ltd.","KNSA",10.98
"New York Community Bancorp, Inc.","NYCB",13.14
"MoneyGram International, Inc.","MGI",7.55
"HashiCorp Inc - Ordinary Shares - Class A","HCP",71.83
"Qutoutiao, Inc.","QTT",2.55
"Fresh Vine Wine Inc","VINE",4.59
"Samsara Inc - Ordinary Shares - Class A","IOT",23.26
"Petróleo Brasileiro SA","PBR/A",9.97
"Cinedigm Corp.","CIDM",1.11
