"","company","tikr","price"
"2775","Coherent, Inc.","COHR",264.69
"2776","CNA Financial Corp.","CNA",46.75
"2777","Codiak BioSciences, Inc.","CDAK",10.05
"2778","ClearSign Technologies Corp.","CLIR",1.39
"2779","Ellington Financial, Inc.","EFC",17.37
"2780","Dragon Victory International Ltd.","LYL",1.17
"2781","Enservco Corp.","ENSV",0.89
"2782","Edenor SA","EDN",5.09
"2783","City Holding Co.","CHCO",85.88
"2784","EastGroup Properties, Inc.","EGP",210.72
"2785","Cullen/Frost Bankers, Inc.","CFR",135.58
"2786","Dycom Industries, Inc.","DY",89.83
"2787","Discovery, Inc.","DISCB",36.5
"2788","Domino's Pizza, Inc.","DPZ",508.24
"2789","CVD Equipment Corp.","CVV",4.21
"2790","EnerSys","ENS",78.8
"2791","Companhia Siderurgica Nacional","SID",4.25
"2792","Danimer Scientific, Inc.","DNMR",7.55
"2793","Cognizant Technology Solutions Corp.","CTSH",87.43
"2794","CPS Technologies Corp.","CPSH",3.64
"2795","Diageo Plc","DEO",211.33
"2796","Donaldson Co., Inc.","DCI",59.56
"2797","Dollar General Corp.","DG",238.2
"2798","CNX Resources Corp.","CNX",14.64
"2799","Diversified Healthcare Trust","DHC",3.39
"2800","Cyteir Therapeutics, Inc.","CYT",8.25
"2801","Comerica, Inc.","CMA",97.06
"2802","Colfax Corp.","CFX",44.8
"2803","Eco Wave Power Global AB","WAVE",5.57
"2804","Community Healthcare Trust, Inc.","CHCT",47.56
"2805","Denbury, Inc.","DEN",77.69
"2806","ConnectOne Bancorp, Inc.","CNOB",35.55
"2807","Entergy Corp.","ETR",112.15
"2808","Copart, Inc.","CPRT",136.4
"2809","Citi Trends, Inc.","CTRN",81.1
"2810","Docebo, Inc.","DCBO",53.22
"2811","Duolingo Inc - Ordinary Shares - Class A","DUOL",102.28
"2812","Desktop Metal, Inc.","DM",4.51
"2813","Educational Development Corp.","EDUC",8.44
"2814","Cohen & Co., Inc.","COHN",14.33
"2815","Dogness (International) Corp.","DOGZ",3.47
"2816","Corporate Office Properties Trust, Inc.","OFC",29.19
"2817","Civeo Corp.","CVEO",20.1
"2818","Coinbase Global, Inc.","COIN",232.28
"2819","Cyclacel Pharmaceuticals, Inc.","CYCC",3.92
"2820","Deutsche Bank AG","DB",14.08
"2821","CollPlant Biotechnologies Ltd.","CLGN",13.09
"2822","Eaton Corp. Plc","ETN",167.83
"2823","DZS, Inc.","DZSI",15.76
"2824","Crown Crafts, Inc.","CRWS",7.25
"2825","eGain Corp.","EGAN",9.98
"2826","CooTek (Cayman) Inc.","CTK",0.48
"2827","Despegar.com Corp.","DESP",9.69
"2828","Emerson Electric Co.","EMR",95.68
"2829","Emerson Radio Corp.","MSN",0.85
"2830","Dana, Inc.","DAN",23.93
"2831","CompX International, Inc.","CIX",22.97
"2832","Cyanotech Corp.","CYAN",3.07
"2833","Drive Shack, Inc.","DS",1.5
"2834","Companhia de Saneamento Basico do Estado de Sao Paulo SABESP","SBS",6.34
"2835","DuPont de Nemours, Inc.","DD",83.19
"2836","Dell Technologies, Inc.","DELL",57.99
"2837","Concentrix Corp.","CNXC",164.19
"2838","Dingdong (Cayman) Ltd.","DDL",12.28
"2839","CytoSorbents Corp.","CTSO",3.73
"2840","Empire State Realty Trust, Inc.","ESRT",10.16
"2841","Discovery, Inc.","DISCK",29.35
"2842","East West Bancorp, Inc.","EWBC",86.82
"2843","DURECT Corp.","DRRX",0.84
"2844","Colliers International Group, Inc.","CIGI",142.02
"2845","Constellation Brands, Inc.","STZ",246.17
"2846","Emerald Holding, Inc.","EEX",3.69
"2847","CorMedix, Inc.","CRMD",4.85
"2848","Enerplus Corp.","ERF",11.1
"2849","DexCom, Inc.","DXCM",471.5
"2850","Enphase Energy, Inc.","ENPH",145.14
"2851","Clever Leaves Holdings, Inc.","CLVR",2.65
"2852","Clean Energy Fuels Corp.","CLNE",6.21
"2853","Eagle Bulk Shipping, Inc.","EGLE",45.33
"2854","Coffee Holding Co., Inc.","JVA",4.34
"2855","Companhia Paranaense de Energia","ELP",5.26
"2856","Eiger BioPharmaceuticals, Inc.","EIGR",4.89
"2857","CubeSmart","CUBE",51.22
"2858","Del Taco Restaurants, Inc.","TACO",12.48
"2859","Coca-Cola Consolidated, Inc.","COKE",602.16
"2860","Corcept Therapeutics, Inc.","CORT",18.94
"2861","Darling Ingredients, Inc.","DAR",65.49
"2862","Clovis Oncology, Inc.","CLVS",2.55
"2863","Energy Transfer LP","ET",9.24
"2864","EMCORE Corp.","EMKR",6.5
"2865","Community Trust Bancorp, Inc. (Kentucky)","CTBI",45.54
"2866","Diodes, Inc.","DIOD",100.25
"2867","Corsair Gaming, Inc.","CRSR",20.78
"2868","Deluxe Corp.","DLX",32.03
"2869","Dine Brands Global, Inc.","DIN",76.73
"2870","Cross Timbers Royalty Trust","CRT",12
"2871","Credit Suisse Group AG","CS",10.19
"2872","Crescent Capital BDC, Inc.","CCAP",17.96
"2873","Ellington Residential Mortgage REIT","EARN",10.83
"2874","Communications Systems, Inc.","JCS",2.47
"2875","CSP, Inc.","CSPI",8.7
"2876","Danaos Corp.","DAC",70.09
"2877","Cinemark Holdings, Inc.","CNK",17.15
"2878","Dollar Tree, Inc.","DLTR",140.92
"2879","Cintas Corp.","CTAS",397.44
"2880","Ebang International Holdings, Inc.","EBON",1.02
"2881","CrossFirst Bankshares, Inc.","CFB",15.99
"2882","CSW Industrials, Inc.","CSWI",123.2
"2883","Eltek Ltd.","ELTK",4
"2884","DIRTT Environmental Solutions Ltd.","DRTT",2.25
"2885","Crown Holdings, Inc.","CCK",109.57
"2886","Cricut, Inc.","CRCT",23.37
"2887","CorePoint Lodging, Inc.","CPLG",15.65
"2888","Clarivate Plc","CLVT",22.37
"2889","Customers Bancorp, Inc.","CUBI",74.54
"2890","Companhia Energética de Minas Gerais SA","CIG",2.2
"2891","Commercial Metals Co.","CMC",35.61
"2892","Clearway Energy, Inc.","CWEN",33.87
"2893","CNH Industrial NV","CNHI",16.15
"2894","Dunxin Financial Holdings Ltd.","DXF",1.04
"2895","CONSOL Energy, Inc.","CEIX",23.52
"2896","DXC Technology Co.","DXC",33.32
"2897","Cronos Group, Inc.","CRON",3.91
"2898","Crescent Point Energy Corp.","CPG",6.11
"2899","DHI Group, Inc.","DHX",6.06
"2900","Compass, Inc. (New York)","COMP",8.53
"2901","Commercial Vehicle Group, Inc.","CVGI",8.1
"2902","Corvus Gold, Inc.","KOR",3.23
"2903","electroCore, Inc.","ECOR",0.54
"2904","DiamondRock Hospitality Co.","DRH",10.06
"2905","Comfort Systems USA, Inc.","FIX",95.91
"2906","Electric Last Mile Solutions, Inc.","ELMS",6.41
"2907","Cortexyme, Inc.","CRTX",12.05
"2908","Community Bank System, Inc.","CBU",77.19
"2909","ENGlobal Corp.","ENG",1.24
"2910","Denison Mines Corp.","DNN",1.46
"2911","Editas Medicine, Inc.","EDIT",25.15
"2912","DocuSign, Inc.","DOCU",135.88
"2913","Dorian LPG Ltd.","LPG",13.9
"2914","Comtech Telecommunications Corp.","CMTL",23.61
"2915","CorEnergy Infrastructure Trust, Inc.","CORR",3.72
"2916","Duck Creek Technologies, Inc.","DCT",27.15
"2917","Curis, Inc.","CRIS",3.48
"2918","Deckers Outdoor Corp.","DECK",338.44
"2919","CNO Financial Group, Inc.","CNO",25.45
"2920","Douglas Emmett, Inc.","DEI",36.48
"2921","Data I/O Corp.","DAIO",4.75
"2922","Dyadic International, Inc.","DYAI",4.2
"2923","Citizens & Northern Corp.","CZNC",27.35
"2924","DallasNews Corp.","DALN",7.37
"2925","Computer Task Group, Inc.","CTG",9.47
"2926","Ducommun, Inc.","DCO",46.96
"2927","Columbia Banking System, Inc.","COLB",36.07
"2928","Danaher Corp.","DHR",295.65
"2929","e.l.f. Beauty, Inc.","ELF",31.07
"2930","Darden Restaurants, Inc.","DRI",145.69
"2931","Cumberland Pharmaceuticals, Inc.","CPIX",4.27
"2932","CVR Energy, Inc.","CVI",19.99
"2933","Eledon Pharmaceuticals, Inc.","ELDN",4.09
"2934","Dime Community Bancshares, Inc.","DCOM",36.76
"2935","Enbridge, Inc.","ENB",40.58
"2936","EDAP TMS SA","EDAP",6.33
"2937","Digital Realty Trust, Inc.","DLR",161
"2938","Cleanspark, Inc.","CLSK",8.15
"2939","Delcath Systems, Inc.","DCTH",7.43
"2940","Citius Pharmaceuticals, Inc.","CTXR",1.6
"2941","Edgewell Personal Care Co.","EPC",48.82
"2942","Creatd, Inc.","CRTD",2.18
"2943","Clearpoint Neuro, Inc.","CLPT",10.35
"2944","Crinetics Pharmaceuticals, Inc.","CRNX",25.33
"2945","Dawson Geophysical Co.","DWSN",2.31
"2946","Dolphin Entertainment, Inc.","DLPN",7.83
"2947","Digi International, Inc.","DGII",24.33
"2948","Couchbase, Inc.","BASE",22.04
"2949","Cousins Properties, Inc.","CUZ",42.15
"2950","Civista Bancshares, Inc.","CIVB",25.53
"2951","Clear Channel Outdoor Holdings, Inc.","CCO",3.2
"2952","Dynex Capital, Inc.","DX",16.91
"2953","CyrusOne, Inc.","CONE",89.31
"2954","Douglas Dynamics, Inc.","PLOW",39.4
"2955","Citigroup, Inc.","C",65.78
"2956","Discovery, Inc.","DISCA",30.05
"2957","Emclaire Financial Corp.","EMCF",28.34
"2958","CRA International, Inc.","CRAI",91.9
"2959","Enthusiast Gaming Holdings, Inc.","EGLX",2.63
"2960","Dyne Therapeutics, Inc.","DYN",10.85
"2961","Discover Financial Services","DFS",125.71
"2962","Data Storage Corp.","DTST",3.74
"2963","Diamond Hill Investment Group, Inc.","DHIL",188.5
"2964","DarioHealth Corp.","DRIO",11.28
"2965","Dolby Laboratories, Inc.","DLB",92.35
"2966","Element Solutions, Inc.","ESI",23.89
"2967","Comstock Holding Cos., Inc.","CHCI",4.5
"2968","Codexis, Inc.","CDXS",25.59
"2969","Eastman Chemical Co.","EMN",122.4
"2970","CURO Group Holdings Corp.","CURO",16.41
"2971","Compass Minerals International, Inc.","CMP",54.96
"2972","Corporacion America Airports SA","CAAP",5.8
"2973","DiaMedica Therapeutics, Inc.","DMAC",3.62
"2974","Crexendo, Inc.","CXDO",4.76
"2975","CPI Aerostructures, Inc.","CVU",2.7
"2976","Cloudflare, Inc.","NET",107
"2977","Corvus Pharmaceuticals, Inc.","CRVS",2.14
"2978","eMagin Corp.","EMAN",1.77
"2979","CuriosityStream, Inc.","CURI",5.87
"2980","CyberArk Software Ltd.","CYBR",158.07
"2981","DraftKings, Inc.","DKNG",27.23
"2982","Designer Brands, Inc.","DBI",13.96
"2983","Entravision Communications Corp.","EVC",6.3
"2984","CureVac NV","CVAC",30.77
"2985","Conagra Brands, Inc.","CAG",34.75
"2986","Enterprise Financial Services Corp.","EFSC",49.57
"2987","Dick's Sporting Goods, Inc.","DKS",109.31
"2988","Duke Energy Corp.","DUK",104.48
"2989","Connect Biopharma Holdings Ltd.","CNTB",4.6
"2990","Coursera Inc","COUR",23.22
"2991","Cummins, Inc.","CMI",234.44
"2992","Convey Health Solutions Holdings, Inc.","CNVY",7.57
"2993","Ennis, Inc.","EBF",19.34
"2994","Embraer SA","ERJ",17.03
"2995","Donnelley Financial Solutions, Inc.","DFIN",39.52
"2996","CME Group, Inc.","CME",225.06
"2997","CytomX Therapeutics, Inc.","CTMX",3.9
"2998","Diebold Nixdorf, Inc.","DBD",9.73
"2999","Edesa Biotech, Inc.","EDSA",5.38
"3000","CrowdStrike Holdings, Inc.","CRWD",188.99
"3001","Clearside Biomedical, Inc.","CLSD",2.53
"3002","Engine Gaming and Media Inc","GAME",3.01
"3003","Clear Secure, Inc.","YOU",26.17
"3004","CryoLife, Inc.","CRY",20.36
"3005","Dynatrace, Inc.","DT",54.06
"3006","DermTech, Inc.","DMTK",15.15
"3007","Ekso Bionics Holdings, Inc.","EKSO",2.67
"3008","Cyclo Therapeutics, Inc.","CYTH",4.27
"3009","CyberOptics Corp.","CYBE",40.58
"3010","Enochian Biosciences, Inc.","ENOB",6.62
"3011","Eni SpA","E",29.18
"3012","eHealth, Inc.","EHTH",24.39
"3013","Coty, Inc.","COTY",10.02
"3014","Clipper Realty, Inc.","CLPR",9.81
"3015","Elevation Oncology, Inc.","ELEV",5.99
"3016","CNFinance Holdings Ltd.","CNF",4.35
"3017","Companhia Energética de Minas Gerais SA","CIG/C",3.08
"3018","Domo, Inc.","DOMO",44.5
"3019","Cue Biopharma, Inc.","CUE",10.54
"3020","Comstock Resources, Inc.","CRK",8.56
"3021","CLPS, Inc.","CLPS",2.03
"3022","Electromed, Inc.","ELMD",12.75
"3023","Construction Partners, Inc.","ROAD",28.6
"3024","Cohen & Steers, Inc. (New York)","CNS",90.93
"3025","CohBar, Inc.","CWBR",0.4
"3026","Columbia Sportswear Co.","COLM",94.29
"3027","Cisco Systems, Inc.","CSCO",61.15
"3028","CKX Lands, Inc.","CKX",11.55
"3029","Digital Brands Group, Inc.","DBGI",2.3
"3030","Cleveland-Cliffs, Inc.","CLF",23.36
"3031","Dominion Energy, Inc.","D",80.2
"3032","EnPro Industries, Inc.","NPO",114.68
"3033","Eagle Bancorp Montana, Inc.","EBMT",23.01
"3034","Donegal Group, Inc.","DGICA",14.84
"3035","CynergisTek, Inc.","CTEK",1.44
"3036","Confluent, Inc.","CFLT",67.09
"3037","Co-Diagnostics, Inc.","CODX",9.29
"3038","Encore Capital Group, Inc.","ECPG",60.02
"3039","Elastic NV","ESTC",108.22
"3040","Crawford & Co.","CRD/B",7.97
"3041","Coherus BioSciences, Inc.","CHRS",14.72
"3042","Collegium Pharmaceutical, Inc.","COLL",19.24
"3043","Coca-Cola FEMSA SAB de CV","KOF",53.8
"3044","Doximity, Inc.","DOCS",47.63
"3045","Clarus Corp.","CLAR",25.48
"3046","Cullinan Oncology, Inc.","CGEM",14.75
"3047","Deciphera Pharmaceuticals, Inc.","DCPH",8.93
"3048","Community Health Systems, Inc.","CYH",12.05
"3049","Easterly Government Properties, Inc.","DEA",23.05
"3050","Covenant Logistics Group, Inc.","CVLG",22.5
"3051","Ellomay Capital Ltd.","ELLO",28.78
"3052","ContraFect Corp.","CFRX",2.53
"3053","Denny's Corp.","DENN",15.86
"3054","Controladora Vuela Compañía de Aviación SAB de CV","VLRS",18.54
"3055","Cognyte Software Ltd.","CGNT",14.32
"3056","Cognex Corp.","CGNX",71.48
"3057","Daily Journal Corp.","DJCO",377.2
"3058","Digital Turbine, Inc.","APPS",52.41
"3059","Cuentas, Inc.","CUEN",1.24
"3060","ConocoPhillips","COP",80.62
"3061","Eagle Bancorp, Inc. (Maryland)","EGBN",62.78
"3062","CTI BioPharma Corp.","CTIC",2.24
"3063","Eargo, Inc.","EAR",6.34
"3064","Dynavax Technologies Corp.","DVAX",13.52
"3065","Cushman & Wakefield Plc","CWK",21.71
"3066","CSG Systems International, Inc.","CSGS",58.33
"3067","Crawford & Co.","CRD/A",7.89
"3068","Devon Energy Corp.","DVN",48.89
"3069","Cohu, Inc.","COHU",35.9
"3070","Concert Pharmaceuticals, Inc.","CNCE",3.12
"3071","Elanco Animal Health, Inc.","ELAN",27.05
"3072","Clearwater Paper Corp.","CLW",36.82
"3073","Edwards Lifesciences Corp.","EW",122.33
"3074","DISH Network Corp.","DISH",34.38
"3075","Cloopen Group Holding Ltd.","RAAS",2.48
"3076","Delta Apparel, Inc.","DLA",29.64
"3077","Digital Ally, Inc.","DGLY",1.06
"3078","CONMED Corp.","CNMD",143.06
"3079","CRH Plc","CRH",52.97
"3080","Edgewise Therapeutics, Inc.","EWTX",17.56
"3081","Ensysce Biosciences, Inc.","ENSC",3.98
"3082","Core Laboratories NV","CLB",26.18
"3083","Cumulus Media, Inc.","CMLS",10.75
"3084","Continental Resources, Inc.","CLR",49.43
"3085","Elevate Credit, Inc.","ELVT",2.98
"3086","DTE Energy Co.","DTE",119.68
"3087","Dynatronics Corp.","DYNT",1.04
"3088","Coeur Mining, Inc.","CDE",4.85
"3089","Corbus Pharmaceuticals Holdings, Inc.","CRBP",0.56
"3090","Code Chain New Continent Ltd.","CCNC",0.98
"3091","Covetrus, Inc.","CVET",17.75
"3092","ConforMIS, Inc.","CFMS",0.7
"3093","Clean Harbors, Inc.","CLH",95.79
"3094","Ecolab, Inc.","ECL",229.92
"3095","Denali Therapeutics, Inc.","DNLI",41.6
"3096","Entegris, Inc.","ENTG",132.03
"3097","Datasea, Inc.","DTSS",1.39
"3098","DaVita, Inc.","DVA",111.56
"3099","ECMOHO Ltd.","MOHO",0.39
"3100","Cogent Biosciences, Inc.","COGT",8.32
"3101","EHang Holdings Ltd.","EH",15.41
"3102","Cullman Bancorp, Inc.","CULL",12.39
"3103","Eagle Pharmaceuticals, Inc.","EGRX",50.72
"3104","Computer Programs & Systems, Inc.","CPSI",29.01
"3105","Endava Plc","DAVA",129.29
"3106","Datadog, Inc.","DDOG",143.88
"3107","Datto Holding Corp.","MSP",24.99
"3108","Enlivex Therapeutics Ltd.","ENLV",6.02
"3109","CryoPort, Inc.","CYRX",45.13
"3110","Colgate-Palmolive Co.","CL",84.44
"3111","Eastern Bankshares, Inc.","EBC",21.63
"3112","Enova International, Inc.","ENVA",41.35
"3113","Concord Medical Services Holding Ltd.","CCM",1.95
"3114","Eastside Distilling, Inc.","EAST",1.64
"3115","Entera Bio Ltd.","ENTX",2.84
"3116","CNS Pharmaceuticals, Inc.","CNSP",0.74
"3117","Duke Realty Corp.","DRE",60.22
"3118","JinkoSolar Holding Co., Ltd.","JKS",44.64
"3119","Independence Realty Trust, Inc.","IRT",23.76
"3120","National Vision Holdings, Inc.","EYE",42.98
"3121","Nasdaq, Inc.","NDAQ",193.5
"3122","Myriad Genetics, Inc.","MYGN",24.96
"3123","Kingsoft Cloud Holdings Ltd.","KC",13.48
"3124","LAIX, Inc.","LAIX",0.58
"3125","New Jersey Resources Corp.","NJR",40.04
"3126","L3Harris Technologies, Inc.","LHX",219.85
"3127","InterContinental Hotels Group Plc","IHG",68.31
"3128","MEDIROM Healthcare Technologies, Inc.","MRM",6.2
"3129","Invesco Mortgage Capital, Inc.","IVR",2.99
"3130","Lixte Biotechnology Holdings, Inc.","LIXT",2.14
"3131","Monolithic Power Systems, Inc.","MPWR",444.47
"3132","JanOne, Inc.","JAN",3.71
"3133","Leggett & Platt, Inc.","LEG",41.97
"3134","NexPoint Real Estate Finance, Inc.","NREF",19.72
"3135","KB Home","KBH",39.75
"3136","M.D.C. Holdings, Inc.","MDC",51.16
"3137","Lions Gate Entertainment Corp.","LGF/B",16.04
"3138","JBG SMITH Properties","JBGS",30.76
"3139","Inventiva SA","IVA",13.78
"3140","Mohawk Industries, Inc.","MHK",176.65
"3141","Maravai Lifesciences Holdings, Inc.","MRVI",33.4
"3142","Inovio Pharmaceuticals, Inc.","INO",4.62
"3143","MicroStrategy, Inc.","MSTR",483.6
"3144","Kennametal, Inc.","KMT",37
"3145","MKS Instruments, Inc.","MKSI",168.97
"3146","Midatech Pharma Plc","MTP",1.22
"3147","International Game Technology Plc","IGT",28.99
"3148","Marathon Digital Holdings, Inc.","MARA",28.48
"3149","LiveOne Inc","LVO",1.02
"3150","Interpublic Group of Cos., Inc.","IPG",37.55
"3151","Nano Dimension Ltd.","NNDM",3.81
"3152","Iterum Therapeutics Plc","ITRM",0.41
"3153","Match Group, Inc.","MTCH",125.34
"3154","Motorola Solutions, Inc.","MSI",252.39
"3155","Mesa Air Group, Inc.","MESA",5.67
"3156","Nemaura Medical, Inc.","NMRD",4.66
"3157","iRobot Corp.","IRBT",66.53
"3158","Mizuho Financial Group, Inc.","MFG",2.69
"3159","MICT, Inc.","MICT",0.83
"3160","Lexicon Pharmaceuticals, Inc.","LXRX",3.53
"3161","Lakeland Industries, Inc.","LAKE",21.9
"3162","Keysight Technologies, Inc.","KEYS",187.99
"3163","MultiPlan Corp.","MPLN",4.02
"3164","Intel Corp.","INTC",53.42
"3165","Maxar Technologies, Inc.","MAXR",29.68
"3166","InMed Pharmaceuticals, Inc.","INM",1.26
"3167","Monster Beverage Corp.","MNST",94.06
"3168","Immunocore Holdings Plc","IMCR",28.8
"3169","Largo, Inc.","LGO",10.43
"3170","ImmunityBio, Inc.","IBRX",6.27
"3171","India Globalization Capital, Inc.","IGC",1
"3172","Kimberly-Clark Corp.","KMB",143.7
"3173","Nexa Resources SA","NEXA",8.53
"3174","Las Vegas Sands Corp.","LVS",37.91
"3175","IM Cannabis Corp.","IMCC",3.01
"3176","MasTec, Inc.","MTZ",93.94
"3177","Juniper Networks, Inc.","JNPR",34.24
"3178","Inspira Technologies Oxy B.H.N. Ltd.","IINN",3.73
"3179","Liberty Global Plc","LBTYA",27.53
"3180","Kubient, Inc.","KBNT",2.78
"3181","Kandi Technologies Group, Inc.","KNDI",3.39
"3182","Lithium Americas Corp.","LAC",27.81
"3183","Mitsubishi UFJ Financial Group, Inc.","MUFG",5.96
"3184","Marriott Vacations Worldwide Corp.","VAC",172.04
"3185","MGM Resorts International","MGM",44.53
"3186","Iris Energy Ltd","IREN",12.02
"3187","MBIA, Inc.","MBI",15.31
"3188","NexGen Energy Ltd.","NXE",4.65
"3189","ImmunoGen, Inc.","IMGN",6.98
"3190","Lemonade, Inc.","LMND",37.04
"3191","Meritor, Inc.","MTOR",26.17
"3192","MetLife, Inc.","MET",67.25
"3193","InflaRx NV","IFRX",3.91
"3194","National Health Investors, Inc.","NHI",60.97
"3195","iSun, Inc.","ISUN",5.3
"3196","Kala Pharmaceuticals, Inc.","KALA",1.09
"3197","LiveRamp Holdings, Inc.","RAMP",45.85
"3198","MEI Pharma, Inc.","MEIP",2.61
"3199","Micro Focus International Plc","MFGP",5.64
"3200","Intercontinental Exchange, Inc.","ICE",133.23
"3201","McAfee Corp.","MCFE",25.75
"3202","Magnolia Oil & Gas Corp.","MGY",19.9
"3203","Magic Software Enterprises Ltd.","MGIC",20.49
"3204","Limelight Networks, Inc.","LLNW",3.56
"3205","Ladder Capital Corp.","LADR",12.19
"3206","Mitek Systems, Inc.","MITK",16.36
"3207","Knowles Corp.","KN",23.27
"3208","Levi Strauss & Co.","LEVI",23.29
"3209","Mattel, Inc.","MAT",22.25
"3210","Netflix, Inc.","NFLX",541.06
"3211","Nielsen Holdings Plc","NLSN",20.99
"3212","Nicholas Financial, Inc.","NICK",11.79
"3213","Muscle Maker, Inc.","GRIL",0.65
"3214","LPL Financial Holdings, Inc.","LPLA",177.43
"3215","Jupiter Wellness, Inc.","JUPW",0.84
"3216","News Corp.","NWS",22.69
"3217","Kelso Technologies, Inc.","KIQ",0.45
"3218","Jefferies Financial Group, Inc.","JEF",40.37
"3219","NiSource, Inc.","NI",27.86
"3220","Kimball International, Inc.","KBAL",10.48
"3221","NetSTREIT Corp.","NTST",23.11
"3222","Kaixin Auto Holdings","KXIN",1.1
"3223","Industrial Logistics Properties Trust","ILPT",25.25
"3224","ION Geophysical Corp.","IO",0.88
"3225","National Beverage Corp.","FIZZ",44.78
"3226","Missfresh Ltd.","MF",4.68
"3227","Lumen Technologies, Inc. (Louisiana)","LUMN",13.77
"3228","IRSA Inversiones y Representaciones SA","IRS",4.01
"3229","Liquidity Services, Inc.","LQDT",21.46
"3230","Nikola Corporation","NKLA",10.62
"3231","Leidos Holdings, Inc.","LDOS",91.53
"3232","Monopar Therapeutics, Inc.","MNPR",3.6
"3233","Leslie's, Inc.","LESL",22.31
"3234","NMI Holdings, Inc.","NMIH",23.96
"3235","IMAC Holdings, Inc.","IMAC",1.42
"3236","MediGus Ltd.","MDGS",1.14
"3237","Kadmon Holdings, Inc.","KDMN",0
"3238","Jacobs Engineering Group, Inc.","J",137.19
"3239","My Size, Inc.","MYSZ",0.48
"3240","Iovance Biotherapeutics, Inc.","IOVA",16.26
"3241","Medalist Diversified REIT, Inc.","MDRR",1.04
"3242","Lumentum Holdings, Inc.","LITE",105.3
"3243","JD.com, Inc.","JD",68.26
"3244","Morgan Stanley","MS",104.03
"3245","Meridian Bioscience, Inc.","VIVO",20.5
"3246","IZEA Worldwide, Inc.","IZEA",1.21
"3247","Kuke Music Holding Ltd.","KUKE",4
"3248","Senstar Technologies Ltd","SNT",2.68
"3249","Intellia Therapeutics, Inc.","NTLA",105.77
"3250","Manhattan Bridge Capital, Inc.","LOAN",5.79
"3251","MEDNAX, Inc.","MD",26.54
"3252","Jianpu Technology, Inc.","JT",1.18
"3253","Nanobiotix SA","NBTX",8.94
"3254","Meiwu Technology Company Ltd","WNW",2.18
"3255","Invivo Therapeutics Holdings Corp.","NVIV",0.5
"3256","Kanzhun Ltd.","BZ",36.9
"3257","Incyte Corp.","INCY",73.2
"3258","Jowell Global Ltd.","JWEL",4.91
"3259","Loews Corp.","L",60.8
"3260","Mueller Water Products, Inc.","MWA",13.87
"3261","Johnson Controls International Plc","JCI",79.27
"3262","Immuron Ltd.","IMRN",2.63
"3263","IQVIA Holdings, Inc.","IQV",257.01
"3264","KKR Real Estate Finance Trust, Inc.","KREF",21.69
"3265","Molecular Templates, Inc.","MTEM",3.9
"3266","Iridium Communications, Inc.","IRDM",40.83
"3267","Nokia Corp - ADR","NOK",6.09
"3268","Marker Therapeutics, Inc.","MRKR",0.86
"3269","Ionis Pharmaceuticals, Inc.","IONS",30.34
"3270","Just Eat Takeaway.com NV","GRUB",9.94
"3271","Mandiant, Inc.","MNDT",16.42
"3272","Koninklijke Philips NV","PHG",37.77
"3273","J.B. Hunt Transport Services, Inc.","JBHT",200.08
"3274","NICE Ltd. (Israel)","NICE",277.36
"3275","Medical Properties Trust, Inc.","MPW",23.24
"3276","Investors Bancorp, Inc. (New Jersey)","ISBC",17.09
"3277","NantHealth, Inc.","NH",0.97
"3278","Microchip Technology, Inc.","MCHP",81.9
"3279","LiqTech International, Inc.","LIQT",5.79
"3280","Kirkland's, Inc.","KIRK",15.75
"3281","Leju Holdings Ltd.","LEJU",0.85
"3282","InspireMD, Inc.","NSPR",2.94
"3283","James Hardie Industries Plc","JHX",37.08
"3284","Nabriva Therapeutics Plc","NBRV",0.59
"3285","Mastercard, Inc.","MA",369.68
"3286","Marqeta Inc - Ordinary Shares - Class A","MQ",15.57
"3287","Merck & Co Inc","MRK",80.29
"3288","Kilroy Realty Corp.","KRC",71.03
"3289","Innoviva, Inc.","INVA",17.5
"3290","Kohl's Corp.","KSS",48.23
"3291","Merus NV","MRUS",29.13
"3292","MediWound Ltd.","MDWD",3.12
"3293","Nexstar Media Group, Inc.","NXST",155.4
"3294","Liberty Global Plc","LBTYB",28.25
"3295","NewAge, Inc.","NBEV",1.02
"3296","Laredo Petroleum, Inc.","LPI",71.43
"3297","Lamb Weston Holdings, Inc.","LW",70.24
"3298","Neptune Wellness Solutions, Inc.","NEPT",0.39
"3299","Lazard Ltd.","LAZ",46.01
"3300","Manchester United Plc","MANU",14.76
"3301","Livent Corp.","LTHM",23.81
"3302","NeuroPace Inc","NPCE",10.27
"3303","Intercept Pharmaceuticals, Inc.","ICPT",15.03
"3304","ironSource Ltd.","IS",6.89
"3305","Laboratory Corp. of America Holdings","LH",285.28
"3306","LifeMD, Inc.","LFMD",3.72
"3307","Murphy Oil Corp.","MUR",30.83
"3308","NLS Pharmaceutics Ltd.","NLSP",1.24
"3309","Moderna, Inc.","MRNA",213.94
"3310","Income Opportunity Realty Investors, Inc.","IOR",12.52
"3311","Lantheus Holdings, Inc.","LNTH",26.89
"3312","IMAX Corp.","IMAX",19
"3313","Lee Enterprises, Inc.","LEE",39.12
"3314","Macerich Co.","MAC",18.16
"3315","Kaleyra, Inc.","KLR",8.8
"3316","Karyopharm Therapeutics, Inc.","KPTI",7.07
"3317","Kite Realty Group Trust","KRG",21.95
"3318","NextPlay Technologies Inc","NXTP",0.71
"3319","Newmont Corp.","NEM",59.44
"3320","Kazia Therapeutics Ltd.","KZIA",8.26
